iter	RMSE
0	664.644745
1	656.475679
2	646.2563478
3	637.7405874
4	630.7070063
5	625.3245948
6	619.532162
7	614.0360956
8	608.7007737
9	604.1658004
10	599.3847109
11	594.864061
12	591.0730693
13	586.4869573
14	583.4177277
15	579.7205771
16	576.4202499
17	572.1409671
18	567.9793944
19	564.6565764
20	562.149993
21	558.2142882
22	554.8653045
23	552.2782903
24	550.4624955
25	548.7275101
26	546.1934672
27	544.0231714
28	541.8042917
29	540.1253972
30	537.9630278
31	535.3742234
32	534.0686086
33	532.8357325
34	531.3860867
35	529.7665907
36	528.138998
37	526.0757783
38	524.8594579
39	523.78314
40	522.1326206
41	520.3506804
42	518.6916474
43	516.6155751
44	515.6582006
45	513.9271462
46	511.8465842
47	510.4529848
48	509.7553845
49	509.0156679
50	507.9635611
51	507.1476805
52	505.8916641
53	505.1769726
54	504.0231317
55	503.1672024
56	501.6341881
57	500.9385701
58	500.1756438
59	499.4998631
60	498.2940086
61	497.0677655
62	496.359186
63	495.6552318
64	494.7915156
65	493.8912032
66	493.1565152
67	492.1723178
68	491.1213906
69	490.3765269
70	489.4330431
71	488.9610759
72	487.7241442
73	486.9464811
74	485.9767334
75	485.3462192
76	484.9615364
77	484.3127917
78	483.4174001
79	482.3187065
80	481.6997775
81	481.2302289
82	480.2006464
83	479.5786217
84	478.5655612
85	477.3196104
86	476.8305281
87	476.1671699
88	474.9868987
89	474.7289089
90	474.2021421
91	473.5325712
92	472.9550991
93	472.3872359
94	471.4266865
95	470.7581305
96	470.4075624
97	469.5272028
98	469.0739888
99	468.6133791
100	467.9233751
101	467.5043412
102	467.1346248
103	466.0871172
104	465.6370248
105	464.7181067
106	464.2104354
107	463.612662
108	462.9872701
109	462.055432
110	461.6151732
111	460.8859238
112	460.1895038
113	459.4057956
114	458.8099929
115	458.2439346
116	456.9489789
117	456.1995278
118	455.8919386
119	455.1858288
120	454.8908154
121	454.2783509
122	453.2955495
123	452.8592299
124	452.5372814
125	452.2026495
126	451.530037
127	451.006109
128	450.3794863
129	449.7911211
130	449.4605264
131	449.1236566
132	448.7805294
133	448.0733334
134	447.8186687
135	447.3420429
136	446.6859392
137	446.3964359
138	446.0899042
139	445.5772649
140	445.218903
141	444.5636463
142	444.1842253
143	443.3956691
144	443.1672847
145	442.9642286
146	442.3231139
147	441.9224624
148	441.5702598
149	441.2702326
150	440.6845438
151	440.1228326
152	439.5998537
153	438.891221
154	438.368785
155	437.48545
156	437.0938128
157	436.4603253
158	436.070302
159	435.5543093
160	434.5545526
161	433.7896416
162	433.4495157
163	433.2513774
164	433.0177516
165	432.425832
166	432.1827906
167	431.877591
168	431.3767549
169	430.6520277
170	430.3441289
171	430.1112698
172	429.6819225
173	429.1384134
174	428.8764342
175	428.5193066
176	427.9985118
177	427.4818201
178	427.125551
179	426.9169321
180	426.3815491
181	426.1211141
182	425.9920592
183	425.4858843
184	425.3121469
185	424.8909737
186	424.5130019
187	424.2052961
188	423.7349402
189	423.5811212
190	423.4098502
191	422.9925791
192	422.8097715
193	422.4541692
194	421.9930071
195	421.6279119
196	421.5380644
197	421.0824277
198	420.8052538
199	420.5792176
