iter	Passed	Remaining
0	1	292
1	2	200
2	2	170
3	3	163
4	3	153
5	4	144
6	5	157
7	6	150
8	6	145
9	7	141
10	7	136
11	8	133
12	9	131
13	9	129
14	10	128
15	11	126
16	11	125
17	12	124
18	12	123
19	13	122
20	14	120
21	14	119
22	15	118
23	16	117
24	16	116
25	17	116
26	17	115
27	18	113
28	19	112
29	20	115
30	21	114
31	21	113
32	22	112
33	22	112
34	23	110
35	24	109
36	24	108
37	25	107
38	25	107
39	26	106
40	27	105
41	27	104
42	28	103
43	29	103
44	29	102
45	30	101
46	30	100
47	31	99
48	32	99
49	32	98
50	33	98
51	34	97
52	34	96
53	35	95
54	36	95
55	36	94
56	37	93
57	37	92
58	39	93
59	39	93
60	40	92
61	41	91
62	41	90
63	42	89
64	42	89
65	43	88
66	44	87
67	44	86
68	45	86
69	46	85
70	46	85
71	48	85
72	48	84
73	49	84
74	49	83
75	50	82
76	51	81
77	51	81
78	52	80
79	52	79
80	53	78
81	54	78
82	54	77
83	55	76
84	56	75
85	56	75
86	57	74
87	57	73
88	58	73
89	59	72
90	59	71
91	60	70
92	61	70
93	61	69
94	62	68
95	62	68
96	63	67
97	64	66
98	64	65
99	65	65
100	65	64
101	66	63
102	66	63
103	67	62
104	68	61
105	68	61
106	69	60
107	70	59
108	70	58
109	71	58
110	71	57
111	72	56
112	72	56
113	73	55
114	74	54
115	74	54
116	75	53
117	75	52
118	76	52
119	77	51
120	77	50
121	78	50
122	78	49
123	79	48
124	80	48
125	80	47
126	81	46
127	81	46
128	82	45
129	83	44
130	83	44
131	84	43
132	85	42
133	85	42
134	86	41
135	86	40
136	88	40
137	88	39
138	89	39
139	89	38
140	90	37
141	91	37
142	91	36
143	92	35
144	93	35
145	93	34
146	94	33
147	94	33
148	95	32
149	96	32
150	97	31
151	98	31
152	99	30
153	99	29
154	100	29
155	101	28
156	101	27
157	102	27
158	102	26
159	103	25
160	104	25
161	104	24
162	105	23
163	105	23
164	106	22
165	107	21
166	107	21
167	108	20
168	109	20
169	109	19
170	110	18
171	111	18
172	112	17
173	112	16
174	113	16
175	114	15
176	115	14
177	116	14
178	116	13
179	117	13
180	117	12
181	118	11
182	119	11
183	119	10
184	120	9
185	120	9
186	121	8
187	121	7
188	122	7
189	123	6
190	124	5
191	124	5
192	125	4
193	126	3
194	126	3
195	127	2
196	128	1
197	129	1
198	129	0
199	130	0
