iBite,ID,specimen,head.w,head.h,head.l,th.w,wing.l,body.l,max.bf.iBite,max.bf.specimen,mean.bf.specimen,mean.bf.ID,mean.ID.head.w,mean.ID.head.h,mean.ID.head.l,mean.ID.th.w,mean.ID.wing.l,mean.ID.body.l,mean.bf.ID.geom,mean.ID.head.w.geom,mean.ID.head.h.geom,mean.ID.head.l.geom,mean.ID.th.w.geom,mean.ID.wing.l.geom,mean.ID.body.l.geom,HemiHolo,infraclass,cohort,order,suborder,superfamily,family,subfamily,tribe,genus,species,amplification,latitude,longitude,country,climate.zone
2493,Blaberus_craniifer,2246,6.21,7.59,3.21,8.42,48.4,48.82,0.5250176076923077,0.7144680846153846,0.6197428461538461,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2495,Blaberus_craniifer,2247,6.88,7.98,3.51,9.56,0,45.67,1.4284085846153844,1.4284085846153844,1.2986778269230768,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2497,Blaberus_craniifer,2247,6.88,7.98,3.51,9.56,0,45.67,1.168947069230769,1.4284085846153844,1.2986778269230768,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2499,Blaberus_craniifer,2248,6.26,7.64,3.42,8.4,48.79,45.02,0.8785452307692306,0.8785452307692306,0.8785452307692306,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2500,Blaberus_craniifer,2246,6.21,7.59,3.21,8.42,48.4,48.82,0.7144680846153846,0.7144680846153846,0.6197428461538461,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2501,Blaberus_craniifer,2249,6.67,7.81,2.98,9.21,0,40.79,0.5123984384615384,1.2449180153846153,0.8786582269230769,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2502,Blaberus_craniifer,2249,6.67,7.81,2.98,9.21,0,40.79,1.2449180153846153,1.2449180153846153,0.8786582269230769,1.0934477999999999,6.54,7.771428571428571,3.26,8.96857142857143,20.798571428571428,45.082857142857144,1.0511718999368818,6.53385420801428,7.76984059005445,3.2531011089519106,8.954644709018474,0,44.97754866157231,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Blaberus,craniifer,2,NA,NA,breeding,NA
2515,Eublaberus_serranus,2259,6.51,7.2,2.71,8.94,41.62,39.3,0.8568598769230769,0.8568598769230769,0.8568598769230769,1.0415527769230768,6.52,7.255,2.7,9.105,42.665,40.465,1.0250466915247143,6.519992331283834,7.254791520092082,2.6999814814179746,9.103504819573612,42.65220041217099,40.448226166298056,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Eublaberus,serranus,2,NA,NA,breeding,NA
2516,Eublaberus_serranus,2260,6.53,7.31,2.69,9.27,43.71,41.63,1.226245676923077,1.226245676923077,1.226245676923077,1.0415527769230768,6.52,7.255,2.7,9.105,42.665,40.465,1.0250466915247143,6.519992331283834,7.254791520092082,2.6999814814179746,9.103504819573612,42.65220041217099,40.448226166298056,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Eublaberus,serranus,2,NA,NA,breeding,NA
2503,Lucihormetica_verrucosa,2250,5.86,6.26,2.63,8.93,25.23,32.22,0.6172412615384615,0.8252357076923076,0.7212384846153845,0.8252357076923076,5.86,6.26,2.63,8.93,25.23,32.22,0.8252357076923076,5.86,6.260000000000001,2.63,8.93,25.229999999999997,32.220000000000006,Hemimetabola,Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Blaberinae,-,Lucihormetica,verrucosa,2,NA,NA,breeding,NA
