infraclass,cohort,order,suborder,superfamily,family,subfamily,tribe,genus,species,iBite,ID,specimen,amplification,head.w,head.h,head.l,th.w,body.l,wing.l,latitude,longitude,country
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Diplopterinae,-,Calolampra,sp_AUS1,1125,Calolampra_sp_AUS1,1198,2.0,3.21,3.25,1.63,3.0,21.6,23.02,-16.101894,145.452239,Australia
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Diplopterinae,-,Calolampra,sp_AUS1,2332,Calolampra_sp_AUS1,1198,2.0,3.21,3.25,1.63,3.0,21.6,23.02,-16.101894,145.452239,Australia
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Epilamprinae,-,Rhabdoblatta,sp_AUS2,1140,Rhabdoblatta_sp_AUS2,1213,2.0,3.47,3.42,1.68,3.33,25.83,24.32,-16.101894,145.452239,Australia
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Epilamprinae,Morphnini,Rhabdoblatta,sp_AUS1,1267,Rhabdoblatta_sp_AUS1,1340,2.0,3.36,3.66,1.7,3.79,20.33,23.36,-21.16991,148.499973,Australia
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Pycnoscelinae,-,Pycnoscelus,surinamensis,1675,Pycnoscelus_surinamensis,1731,2.0,3.24,3.39,1.3,4.54,16.56,0.0,50.7243291210719,7.09123918891807,Germany
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Pycnoscelinae,-,Pycnoscelus,surinamensis,1676,Pycnoscelus_surinamensis,1732,2.0,3.1,3.36,1.23,4.99,16.46,0.0,50.7243291210719,7.09123918891807,Germany
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Pycnoscelinae,-,Pycnoscelus,surinamensis,1677,Pycnoscelus_surinamensis,1733,2.0,3.83,3.69,1.73,4.8,20.67,0.0,50.7243291210719,7.09123918891807,Germany
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Pycnoscelinae,-,Pycnoscelus,surinamensis,1678,Pycnoscelus_surinamensis,1734,2.0,3.59,3.63,1.55,4.7,20.02,0.0,50.7243291210719,7.09123918891807,Germany
Neoptera,Polyneoptera,Blattodea,-,Blaberoidea,Blaberidae,Pycnoscelinae,-,Pycnoscelus,surinamensis,1679,Pycnoscelus_surinamensis,1735,2.0,3.62,3.49,1.29,4.72,21.08,20.37,50.7243291210719,7.09123918891807,Germany
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Blattidae,Polyzosteriinae,-,Celatoblatta,sp_AUS1,1099,Celatoblatta_sp_AUS1,1172,2.0,5.4,5.52,2.52,6.21,32.78,3.38,-16.102306,145.448079,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Blattidae,Polyzosteriinae,-,Celatoblatta,sp_AUS1,1135,Celatoblatta_sp_AUS1,1208,2.0,5.59,6.08,2.63,6.87,32.83,5.61,-16.101894,145.452239,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Blattidae,Polyzosteriinae,-,Celatoblatta,sp_AUS1,2334,Celatoblatta_sp_AUS1,1208,2.0,5.59,6.08,2.63,6.87,32.83,5.61,-16.101894,145.452239,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Blattidae,Polyzosteriinae,-,Methana,convexa,1148,Methana_convexa,1221,2.0,6.09,5.36,2.03,6.04,31.69,26.96,-16.103695,145.453523,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Blattidae,Polyzosteriinae,-,Methana,marginalis,1072,Methana_marginalis,1145,2.0,5.73,7.25,3.03,6.84,40.88,30.48,-16.104282,145.449547,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Kalotermitidae,Neotermitinae,-,Neotermes,sp_AUS1,1242,Neotermes_sp_AUS1,1315,2.0,2.38,1.58,2.19,2.43,11.87,17.71,-21.16991,148.499973,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Rhinotermitidae,Rhinotermitinae,-,Schedorhinotermes,seclusus,1106,Schedorhinotermes_seclusus,1179,2.0,1.89,1.39,1.89,1.22,4.5,0.0,-16.1033183701,145.4501843552,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Rhinotermitidae,Rhinotermitinae,-,Schedorhinotermes,sp_AUS2,1246,Schedorhinotermes_sp_AUS2,1319,2.0,1.5,1.09,1.64,0.87,4.56,0.0,-21.144675,148.4996,Australia
Neoptera,Polyneoptera,Blattodea,-,Blattoidea,Rhinotermitidae,Rhinotermitinae,-,Schedorhinotermes,sp_AUS2,1247,Schedorhinotermes_sp_AUS2,1320,2.0,1.43,1.13,1.52,0.91,4.67,0.0,-21.144675,148.4996,Australia
